client_gender,vehicle_production_year,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,region_region 1,region_region 10,region_region 11,region_region 12,region_region 2,region_region 3,region_region 4,region_region 5,region_region 6,region_region 7,region_region 8,region_region 9,branch_branch 2,branch_branch 3,branch_branch 4,branch_branch 5,branch_branch 6,branch_branch 7,default_status,log_income,log_vehical_value,log_loan_amount
1,2006,45.0,0,0,0,54,0.806451612903226,37.8226849762241,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.773080375655535,8.914626127827137,8.699514748210191
1,2004,41.0,0,0,0,54,0.5,36.8541939681369,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,9.574983485564092,8.881836305004146
1,1997,62.0,0,0,0,72,0.648648648648649,36.3019787594013,3.374,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.426549072397305,9.091556835986216,8.658692753689937
1,2011,42.0,0,0,0,90,1.2,36.1605756006657,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8.476371196895983,10.085809109330082,10.268130666124037
1,2008,62.0,0,0,1,90,0.490566037735849,35.8875532688512,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.272398392570047,10.144078017454058,9.43188264192342
1,1998,32.0,0,0,0,90,0.636363636363636,35.9268416921808,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.560080465021827,9.264828557260252,8.812843433517195
1,2009,25.0,0,0,1,90,0.726531775571248,36.1226876206645,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,9.537771863945247,9.21830854162536
1,2005,25.0,0,0,0,108,0.551724137931034,35.394346108687,3.374,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,6.2878585601617845,9.54108193388841,8.946374826141717
1,2005,36.0,0,0,0,54,0.7,34.1620176686485,3.374,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,9.169518377455928,8.812843433517195
1,1997,46.0,0,0,0,90,0.55,35.0693746166882,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.272398392570047,9.169518377455928,8.571681376700306
0,1996,27.0,0,0,0,36,0.583333333333333,37.0577870091583,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0,7.965545573129992,7.426549072397305
